,n,sequence_length,mut_rate,k,Value
48,50,10000,0.0001,5,0.9791018674280582
49,50,100000,0.0001,5,0.7314296750341087
50,50,1000000,0.0001,5,0.8649564364315235
51,50,1000000,1e-06,5,0.9072551082547484
52,50,10000000,0.0001,5,0.6843759770306875
53,50,10000000,1e-06,5,0.8580432661547024
54,200,10000,0.0001,5,0.9206502605172238
55,200,100000,0.0001,5,0.6554804648990941
56,200,1000000,0.0001,5,0.7691829606796168
57,200,1000000,1e-06,5,0.9504950750548978
58,200,10000000,0.0001,5,0.7555998147203135
59,200,10000000,1e-06,5,0.7695802803339571
60,1000,10000,0.0001,5,0.8434912122495015
61,1000,100000,0.0001,5,0.7414028193467743
62,1000,1000000,0.0001,5,0.73871685717012
63,1000,1000000,1e-06,5,0.8600501348328964
64,1000,10000000,0.0001,5,0.7958811049986398
65,1000,10000000,1e-06,5,0.8430089971378067
66,10000,10000,0.0001,5,0.8908626565623716
67,10000,100000,0.0001,5,0.9025628550075452
68,10000,1000000,0.0001,5,0.7786546436965406
69,10000,1000000,1e-06,5,0.9194722862877462
70,10000,10000000,0.0001,5,0.7668841071329304
71,10000,10000000,1e-06,5,0.8165045629234633
